adr_id,adr_term,model,prevalence_test,roc_auc,pr_auc,pr_auc_delta,f1,precision,recall
C0004093,Asthenia,LogisticRegression,0.770949720670391,0.6624248851184164,0.8633921715097094,0.09244245083931835,0.75,0.8454545454545455,0.6739130434782609
C0011603,Dermatitis,LogisticRegression,0.8379888268156425,0.6214942528735632,0.8978002761193793,0.05981144930373683,0.8210526315789474,0.8666666666666667,0.78
C0011991,Diarrhoea,LogisticRegression,0.7821229050279329,0.6791208791208792,0.8748571472553778,0.09273424222744486,0.765625,0.8448275862068966,0.7
C0012833,Dizziness,LinearSVC,0.8268156424581006,0.5996076721883175,0.8591552017664746,0.032339559308374066,0.7956204379562044,0.8650793650793651,0.7364864864864865
C0015230,Rash,LogisticRegression,0.8435754189944135,0.5973273415326394,0.8958724127208393,0.05229699372642582,0.7885304659498208,0.859375,0.7284768211920529
C0018681,Headache,LogisticRegression,0.8435754189944135,0.5860927152317881,0.8632759923711251,0.019700573376711605,0.8292682926829268,0.875,0.7880794701986755
C0020517,Hypersensitivity,LogisticRegression,0.6536312849162011,0.5895368072787428,0.7091819214733204,0.055550636557119226,0.6896551724137931,0.6956521739130435,0.6837606837606838
C0027497,Nausea,LogisticRegression,0.8994413407821229,0.660455486542443,0.9325044044321372,0.033063063650014324,0.8786885245901639,0.9305555555555556,0.8322981366459627
C0033774,Pruritus,LogisticRegression,0.7374301675977654,0.6675531914893617,0.8277084221761414,0.09027825457837602,0.7603305785123967,0.8363636363636363,0.696969696969697
C0042963,Vomiting,LogisticRegression,0.8435754189944135,0.6618968779564806,0.9167263132121612,0.07315089421774779,0.8251748251748252,0.8740740740740741,0.7814569536423841
